Category,Item,MPN,Supplier,Qty,Unit,Notes
MCU,STM32G031 ARM Cortex-M0+ 32MHz TSSOP20,STM32G031K8T6,ST,1,1.80,Local calibration and bus communication
Sensor,NTC thermistor 10k 1% high-temp,NTCLE100E3103JB0,Vishay,1,0.45,Drive stator temperature monitoring
ADC,16-bit ADC with internal reference,ADS1115IDGSR,Texas Instruments,1,2.40,High precision temperature measurement
Communication,RS-485 transceiver half-duplex,SN65HVD72,Texas Instruments,1,0.85,Bus interface for digital communication
Power,Buck converter 12V to 3.3V 500mA,TPS62172DSGT,Texas Instruments,1,1.45,Efficient power from bus
Connector,4-pin screw terminal block 5.08mm,691137710004,Wurth,1,0.18,Bus connection (12V GND Data+ Data-)
Connector,Cable gland PG9 for 4-conductor cable,PG9-GLAND,Wiska,1,1.50,Strain relief and environmental sealing
Protection,ESD protection diode array 4-ch,ESD9X3.3ST5G,OnSemi,1,0.08,Bus and power line protection
Clock,8MHz crystal for MCU,ABM8G-8.000MHZ,ABRACON,1,0.12,MCU external clock source
Addressing,4-position DIP switch,219-4MS,CTS,1,0.10,Module address configuration
Status,Status LED green 0603,LTST-C190KGKT,Lite-On,1,0.01,Operational status indication
Passives,Precision resistor for NTC bias 0.1%,ERA-3AEB1002V,Panasonic,2,0.08,Temperature measurement accuracy
Passives,Resistors and capacitors 0603 assorted,R0603 assortment,Generic,1,0.20,Bus termination filter and bias network
Mechanical,High-temp silicone adhesive,RTV-108,Dow Corning,0.1,0.05,Sensor bonding to motor stator
Mechanical,Kapton tape high-temp 25mm,KAPTON-25MM-1M,3M,0.1,0.08,Insulation and protection
PCB,2-layer PCB FR4 1.6mm 30x20mm,PCB-2L-SMALL,Various,1,0.60,Temperature sensor module with MCU
Enclosure,Custom enclosure (high-temp protection sleeve),CUSTOM,Custom,1,2.20,Custom enclosure; equivalent spec to TEMP-SLEEVE-01
Programming,Tag-Connect SWD footprint (TC2050 or TC2030),TC2050/TC2030,Tag-Connect,0,0.00,DNP; ensure footprint on PCB for SWD
